Currency,Units per HKD,HKD per unit,Date
USD,0.128270381,7.796032035,2022-01-01
EUR,0.11282355,8.863397759,2022-01-01
GBP,0.09481781,10.54654182,2022-01-01
INR,9.556998917,0.104635358,2022-01-01
AUD,0.176586607,5.662943635,2022-01-01
CAD,0.162113204,6.168528994,2022-01-01
SGD,0.173047781,5.778750771,2022-01-01
CHF,0.116977557,8.548648376,2022-01-01
MXN,2.631032511,0.380078922,2022-01-01
PHP,6.544142043,0.152808419,2022-01-01
PLN,0.517539494,1.932219688,2022-01-01
PEN,0.511475334,1.955128495,2022-01-01
USD,0.128269264,7.796099915,2022-01-02
EUR,0.112765113,8.867990907,2022-01-02
GBP,0.094818086,10.54651112,2022-01-02
INR,9.560361513,0.104598555,2022-01-02
AUD,0.1764179,5.668359046,2022-01-02
CAD,0.1619105,6.176251695,2022-01-02
SGD,0.172994141,5.780542607,2022-01-02
CHF,0.116868749,8.556607393,2022-01-02
MXN,2.629176533,0.380347226,2022-01-02
PHP,6.543987958,0.152812017,2022-01-02
PLN,0.517612878,1.931945751,2022-01-02
PEN,0.511476792,1.955122921,2022-01-02
USD,0.128259304,7.796705346,2022-01-03
EUR,0.113614931,8.80166006,2022-01-03
GBP,0.095239894,10.49980166,2022-01-03
INR,9.542441121,0.104794988,2022-01-03
AUD,0.178257473,5.609862989,2022-01-03
CAD,0.163570138,6.113585365,2022-01-03
SGD,0.173590566,5.760681713,2022-01-03
CHF,0.117845537,8.485684101,2022-01-03
MXN,2.637299011,0.379175814,2022-01-03
PHP,6.55226882,0.152618891,2022-01-03
PLN,0.51980167,1.92381067,2022-01-03
PEN,0.5121187,1.952672301,2022-01-03
USD,0.128300034,7.794230189,2022-01-04
EUR,0.113611996,8.801887405,2022-01-04
GBP,0.094740514,10.55514641,2022-01-04
INR,9.561286676,0.104588434,2022-01-04
AUD,0.177180752,5.643953933,2022-01-04
CAD,0.162973328,6.135973357,2022-01-04
SGD,0.173926099,5.749568387,2022-01-04
CHF,0.117479928,8.512092366,2022-01-04
MXN,2.63058117,0.380144134,2022-01-04
PHP,6.567514934,0.152264595,2022-01-04
PLN,0.518499169,1.928643401,2022-01-04
PEN,0.50779479,1.96929945,2022-01-04
USD,0.128274597,7.795775837,2022-01-05
EUR,0.113183404,8.835217607,2022-01-05
GBP,0.094513159,10.58053724,2022-01-05
INR,9.53140608,0.104916315,2022-01-05
AUD,0.176685461,5.659775252,2022-01-05
CAD,0.162913395,6.138230702,2022-01-05
SGD,0.173767135,5.754828134,2022-01-05
CHF,0.117515031,8.509549752,2022-01-05
MXN,2.622375261,0.381333677,2022-01-05
PHP,6.546620064,0.152750578,2022-01-05
PLN,0.516864222,1.934744094,2022-01-05
PEN,0.506351173,1.974913958,2022-01-05
USD,0.128195976,7.800556854,2022-01-06
EUR,0.113387184,8.819338861,2022-01-06
GBP,0.094700369,10.55962094,2022-01-06
INR,9.537956229,0.104844264,2022-01-06
AUD,0.178888739,5.590066797,2022-01-06
CAD,0.163120608,6.130433268,2022-01-06
SGD,0.174425621,5.733102692,2022-01-06
CHF,0.117894325,8.482172505,2022-01-06
MXN,2.619832104,0.38170385,2022-01-06
PHP,6.570077192,0.152205213,2022-01-06
PLN,0.516374476,1.936579065,2022-01-06
PEN,0.507420907,1.97075049,2022-01-06
USD,0.12822967,7.798507154,2022-01-07
EUR,0.112915744,8.856160923,2022-01-07
GBP,0.094415392,10.59149335,2022-01-07
INR,9.523193986,0.105006787,2022-01-07
AUD,0.178489108,5.602582765,2022-01-07
CAD,0.162151307,6.167079511,2022-01-07
SGD,0.173880266,5.751083909,2022-01-07
CHF,0.117868138,8.484057019,2022-01-07
MXN,2.617068794,0.382106883,2022-01-07
PHP,6.58432414,0.151875877,2022-01-07
PLN,0.513490389,1.947456119,2022-01-07
PEN,0.506166945,1.975632762,2022-01-07
