Currency,Units per USD,USD per unit,Date
AUD,1.377,0.726,2022-01-01
CAD,1.264,0.791,2022-01-01
CHF,0.912,1.097,2022-01-01
CNY,6.354,0.157,2022-01-01
EUR,0.88,1.137,2022-01-01
GBP,0.739,1.353,2022-01-01
HKD,7.796,0.128,2022-01-01
INR,74.507,0.013,2022-01-01
MXN,20.512,0.049,2022-01-01
PEN,3.987,0.251,2022-01-01
PHP,51.018,0.02,2022-01-01
PLN,4.035,0.248,2022-01-01
SGD,1.349,0.741,2022-01-01
NZD,1.462,0.684,2022-01-01
AUD,1.375,0.727,2022-01-02
CAD,1.262,0.792,2022-01-02
CHF,0.911,1.098,2022-01-02
CNY,6.353,0.157,2022-01-02
EUR,0.879,1.137,2022-01-02
GBP,0.739,1.353,2022-01-02
HKD,7.796,0.128,2022-01-02
INR,74.534,0.013,2022-01-02
MXN,20.497,0.049,2022-01-02
PEN,3.988,0.251,2022-01-02
PHP,51.018,0.02,2022-01-02
PLN,4.035,0.248,2022-01-02
SGD,1.349,0.741,2022-01-02
NZD,1.462,0.684,2022-01-02
AUD,1.39,0.72,2022-01-03
CAD,1.275,0.784,2022-01-03
CHF,0.919,1.088,2022-01-03
CNY,6.355,0.157,2022-01-03
EUR,0.886,1.129,2022-01-03
GBP,0.743,1.347,2022-01-03
HKD,7.797,0.128,2022-01-03
INR,74.4,0.013,2022-01-03
MXN,20.562,0.049,2022-01-03
PEN,3.993,0.25,2022-01-03
PHP,51.086,0.02,2022-01-03
PLN,4.053,0.247,2022-01-03
SGD,1.353,0.739,2022-01-03
NZD,1.473,0.679,2022-01-03
AUD,1.381,0.724,2022-01-04
CAD,1.27,0.787,2022-01-04
CHF,0.916,1.092,2022-01-04
CNY,6.364,0.157,2022-01-04
EUR,0.886,1.129,2022-01-04
GBP,0.738,1.354,2022-01-04
HKD,7.794,0.128,2022-01-04
INR,74.523,0.013,2022-01-04
MXN,20.503,0.049,2022-01-04
PEN,3.958,0.253,2022-01-04
PHP,51.189,0.02,2022-01-04
PLN,4.041,0.247,2022-01-04
SGD,1.356,0.738,2022-01-04
NZD,1.469,0.681,2022-01-04
AUD,1.377,0.726,2022-01-05
CAD,1.27,0.787,2022-01-05
CHF,0.916,1.092,2022-01-05
CNY,6.362,0.157,2022-01-05
EUR,0.882,1.133,2022-01-05
GBP,0.737,1.357,2022-01-05
HKD,7.796,0.128,2022-01-05
INR,74.305,0.013,2022-01-05
MXN,20.443,0.049,2022-01-05
PEN,3.947,0.253,2022-01-05
PHP,51.036,0.02,2022-01-05
PLN,4.029,0.248,2022-01-05
SGD,1.355,0.738,2022-01-05
NZD,1.465,0.683,2022-01-05
AUD,1.395,0.717,2022-01-06
CAD,1.272,0.786,2022-01-06
CHF,0.92,1.087,2022-01-06
CNY,6.383,0.157,2022-01-06
EUR,0.884,1.131,2022-01-06
GBP,0.739,1.354,2022-01-06
HKD,7.801,0.128,2022-01-06
INR,74.401,0.013,2022-01-06
MXN,20.436,0.049,2022-01-06
PEN,3.958,0.253,2022-01-06
PHP,51.25,0.02,2022-01-06
PLN,4.028,0.248,2022-01-06
SGD,1.361,0.735,2022-01-06
NZD,1.482,0.675,2022-01-06
AUD,1.392,0.718,2022-01-07
CAD,1.265,0.791,2022-01-07
CHF,0.919,1.088,2022-01-07
CNY,6.377,0.157,2022-01-07
EUR,0.881,1.136,2022-01-07
GBP,0.736,1.358,2022-01-07
HKD,7.799,0.128,2022-01-07
INR,74.267,0.013,2022-01-07
